,player_id,name,season,round,team_rank,opponent_team_rank,team_pot,opp_pot,concede_pot,opp_concede_pot,prev_points,form_points,total_points,long_form,ict_form
21221,575,Anichebe,2016/17,15,20,18,1.125,1.625,2.0,2.25,2.0,2.0,2,5.8,7.766666666666668
882,25,Giroud,2016/17,16,3,8,2.375,1.375,1.125,2.25,1.0,2.0,1,2.8,2.2999999999999976
1785,49,Callum Wilson,2016/17,16,10,14,2.125,0.75,1.125,2.375,1.0,2.6666666666666665,1,3.2,2.8999999999999986
1899,52,Afobe,2016/17,16,10,14,2.125,0.75,1.125,2.375,7.0,5.333333333333333,5,3.6,6.633333333333336
2469,67,Vokes,2016/17,16,13,15,0.14285714285714285,0.625,0.8571428571428571,2.375,1.0,1.3333333333333333,2,1.6,3.2666666666666675
2507,68,Gray,2016/17,16,13,15,0.14285714285714285,0.625,0.8571428571428571,2.375,4.0,2.6666666666666665,2,2.0,5.133333333333332
2583,70,Barnes,2016/17,16,13,15,0.14285714285714285,0.625,0.8571428571428571,2.375,1.0,1.0,1,1.0,3.266666666666667
3585,97,Costa,2016/17,16,1,20,1.875,1.5,1.0,0.75,8.0,7.333333333333332,2,7.2,9.8
4473,121,Campbell,2016/17,16,16,6,1.5,1.375,2.25,1.25,5.0,2.333333333333333,1,0.0,3.1333333333333333
5301,143,Lukaku,2016/17,16,8,3,1.375,2.375,2.25,1.125,12.0,5.0,2,3.6,6.833333333333332
6098,164,Diomande,2016/17,16,19,5,1.5,2.125,0.75,0.875,6.0,3.333333333333333,2,2.2,6.866666666666666
6839,184,Vardy,2016/17,16,14,10,0.75,2.125,2.375,1.125,17.0,7.0,2,5.4,9.3
6876,185,Ulloa,2016/17,16,14,10,0.75,2.125,2.375,1.125,1.0,1.0,1,1.0,2.2
6913,186,Okazaki,2016/17,16,14,10,0.75,2.125,2.375,1.125,0.0,2.6666666666666665,1,2.4,3.766666666666667
6950,187,Musa,2016/17,16,14,10,0.75,2.125,2.375,1.125,1.0,1.0,1,1.2,1.366666666666667
7935,213,Christian Benteke,2016/17,16,16,6,1.5,1.375,2.25,1.25,6.0,6.666666666666668,2,6.4,8.566666666666668
8086,217,Origi,2016/17,16,2,17,2.1111111111111107,1.0,1.5555555555555556,1.75,9.0,8.666666666666666,11,6.8,11.3
