,round,team_rank,opponent_team_rank,team_pot,opp_concede_pot,prev_points,form_points,long_form,ict_form,total_points,Predicted,Prediction_Error
288,15,5,2,2.625,0.875,3.0,2.0,2.0,8.033333333333333,2,6883159.4,6883157.4
6618,17,15,11,0.8888888888888888,1.6666666666666667,1.0,3.333333333333333,2.8,3.533333333333333,1,21243694.3,21243693.3
1275,20,7,2,0.7,1.5,2.0,2.333333333333333,2.2,2.6666666666666674,2,-32602547.6,32602549.6
6073,25,11,16,1.3076923076923077,1.5384615384615383,1.0,1.0,0.8,2.8666666666666663,1,42485194.5,42485193.5
2347,8,14,8,0.3333333333333333,1.75,2.0,2.0,2.8,1.566666666666667,1,-19127754.1,19127755.1
639,23,13,6,1.3333333333333333,1.5,1.0,1.3333333333333333,3.6,4.033333333333334,1,24217728.1,24217727.1
11423,11,10,18,1.5,1.6666666666666667,2.0,1.3333333333333333,1.4,1.7999999999999992,1,27688218.7,27688217.7
22668,28,16,18,1.0714285714285714,0.7857142857142857,2.0,1.3333333333333333,1.8,0.7333333333333337,1,58525927.0,58525926.0
16491,27,8,17,1.2666666666666666,1.7142857142857142,1.0,1.0,1.6,1.1333333333333333,1,35662803.5,35662802.5
3627,22,1,10,3.5454545454545454,1.5454545454545454,3.0,6.666666666666668,7.4,10.133333333333333,1,55267085.4,55267084.4
5788,18,7,1,1.6666666666666667,0.7777777777777778,6.0,3.6666666666666665,2.8,4.133333333333334,2,-7518421.2,7518423.2
15425,35,13,3,1.3888888888888888,1.3888888888888888,2.0,3.6666666666666665,3.2,4.499999999999999,1,39742958.0,39742957.0
8655,7,1,2,2.25,1.0,1.0,2.0,3.0,2.5,2,-41685485.9,41685487.9
4915,7,5,8,1.25,0.75,1.0,1.3333333333333333,2.6,2.966666666666665,1,-42544386.7,42544387.7
5749,2,10,12,1.0,1.0,1.0,0.0,0.0,0.0,1,-27255397.6,27255398.6
